Date,Open,High,Low,Close,Volume,Adj Close
2015-04-24,147.33,148.39999,146.87,148.12,1418700,148.12
2015-04-23,146.60001,147.95,146.27,147.30,1351800,147.30
2015-04-22,147.92999,147.92999,146.28,146.98,1423500,146.98
2015-04-21,146.98,148.08,146.60001,147.34,1614300,147.34
2015-04-20,146.64999,147.25,145.75,146.31,2881900,146.31
2015-04-17,146.58,146.73,143.10001,144.57001,4345700,144.57001
2015-04-16,148.75999,148.89999,146.91,147.11,2674600,147.11
2015-04-15,149.58,150.67,149.05,149.07001,1404700,149.07001
2015-04-14,149.00,150.10001,147.72,149.52,1540800,149.52
2015-04-13,149.44,150.34,148.92999,149.02,1120200,149.02
2015-04-10,149.39999,150.03,148.62,149.64,1572900,149.64
2015-04-09,150.57001,151.00,148.27,148.81,3401800,148.81
2015-04-08,152.23,152.67,151.19,152.00,1483000,152.00
2015-04-07,152.53,152.95,151.72,151.78,1391700,151.78
2015-04-06,151.37,152.84,150.60001,152.50,1767600,152.50
2015-04-02,150.47,152.00,150.36,151.63,1095300,151.63
2015-04-01,151.83,151.87,149.70,150.24001,1795000,150.24001
2015-03-31,151.84,153.00,151.25,151.50,1886100,151.50
2015-03-30,150.91,152.59,150.80,152.37,1463800,152.37
2015-03-27,150.21001,151.22,150.02,150.47,1329900,150.47
2015-03-26,149.32001,150.77,149.17,150.06,1554800,150.06
2015-03-25,153.55,153.96001,151.09,151.09,2266800,151.09
2015-03-24,152.95,154.23,152.89,153.14,1637000,153.14
2015-03-23,153.14999,153.56,152.70,152.92999,1665900,152.92999
2015-03-20,152.13,153.14999,151.75,152.59,5859300,152.59
2015-03-19,151.00,151.50,150.32001,151.31,1862900,151.31
2015-03-18,150.00,151.63,148.25,150.92999,2772500,150.92999
2015-03-17,149.39,150.20,148.42999,150.03,1972500,150.03
2015-03-16,149.72,151.00,149.28,149.99001,2532700,149.99001
2015-03-13,149.09,149.91,148.14999,149.28,1470100,149.28
2015-03-12,148.38,149.64,147.39999,149.44,1564000,149.44
2015-03-11,148.33,148.99001,147.34,147.39999,1734300,147.39999
2015-03-10,149.75,150.14999,148.14999,148.16,2128100,148.16
2015-03-09,149.78999,150.99001,149.55,150.67999,1727900,150.67999
2015-03-06,149.28999,150.14999,148.17,149.53999,3014900,149.53999
2015-03-05,150.77,151.75,149.00,151.17,4471100,151.17
2015-03-04,147.84,147.98,145.78,147.17,2208600,147.17
2015-03-03,147.94,148.14,146.66,147.37,1514300,147.37
2015-03-02,147.32001,148.49001,147.32001,147.94,2108600,147.94
2015-02-27,147.56,147.56,145.83,146.96001,3036200,146.96001
2015-02-26,147.07001,147.61,146.20,146.64999,1892600,146.64999
2015-02-25,147.70,148.60001,147.19,147.48,1602700,147.48
2015-02-24,149.38,149.39999,148.00,148.21001,1844200,148.21001
2015-02-23,148.00,148.46001,147.03,148.39,1587300,148.39
2015-02-20,146.67,147.78999,145.89999,147.53999,1595600,147.53999
2015-02-19,146.89999,147.50999,146.46001,146.67,1273700,146.67
2015-02-18,147.16,147.48,146.53,147.23,1541000,147.23
2015-02-17,147.00,147.61,145.66,147.53,1541500,147.53
2015-02-13,148.23,148.80,146.94,147.10001,1926800,147.10001
2015-02-12,148.00999,148.39,146.86,147.75999,1712200,147.75999
2015-02-11,148.39,148.48,146.55,147.46001,2295800,147.46001
2015-02-10,147.99001,148.48,147.00,148.22,1703400,147.86501
2015-02-09,148.70,149.16,146.82001,147.53999,2740200,147.18661
2015-02-06,149.21001,149.95,148.16,148.70,2909200,148.34384
2015-02-05,149.50,151.10001,147.52,149.09,6986700,148.73291
2015-02-04,152.08,156.85001,152.07001,155.92,11006300,150.55853
2015-02-03,146.36,153.89,144.77,153.75,10302900,148.46315
2015-02-02,144.00,146.23,140.13,146.00,4797500,140.97964
2015-01-30,143.09,143.80,141.34,142.99001,5169000,138.07315
2015-01-29,140.16,140.69,138.91,140.64,1873400,135.80394
2015-01-28,141.60001,142.45,139.56,139.62,2016300,134.81902
2015-01-27,142.75,142.80,140.87,140.99001,1786500,136.14192
2015-01-26,141.66,143.05,141.57001,142.91,1482800,137.9959
2015-01-23,141.59,142.31,140.87,142.05,1696800,137.16547
2015-01-22,139.50,141.28,138.39,141.27,1897500,136.41229
2015-01-21,138.85001,139.70,138.38,139.14,1682000,134.35553
2015-01-20,140.72,141.27,138.36,139.38,1836100,134.58728
2015-01-16,139.03999,139.96001,138.22,139.72,1784800,134.91559
2015-01-15,139.95,140.17,138.62,139.31,1819600,134.51968
2015-01-14,140.00999,140.21001,138.24001,139.31,2207900,134.51968
2015-01-13,142.20,144.41,140.39,141.09,2198500,136.23846
2015-01-12,143.58,144.16,142.12,142.52,1340600,137.61931
2015-01-09,144.48,145.05,143.22,143.32001,1727000,138.3918
2015-01-08,145.56,146.10001,144.94,145.56,2937700,140.55476
2015-01-07,142.60001,144.42999,142.36,144.32001,2171600,139.35741
2015-01-06,140.61,142.94,139.85001,141.85001,3185200,136.97235
2015-01-05,141.69,142.16,139.80,140.00,1748500,135.18596
2015-01-02,141.87,143.14999,140.81,141.61,1471000,136.7406
2014-12-31,143.49001,144.13,141.69,141.75,1477900,136.87578
2014-12-30,143.00,144.09,143.00,143.49001,1158800,138.55595
2014-12-29,143.35001,143.85001,142.74001,143.34,1356400,138.4111
2014-12-26,143.61,143.87,143.08,143.44,1226000,138.50768
2014-12-24,144.56,144.87,143.60001,143.64999,738700,138.71043
2014-12-23,144.53,144.97,143.67,144.14999,1459700,139.19325
2014-12-22,142.34,143.27,141.85001,143.21001,1776900,138.28558
2014-12-19,141.50,142.50,141.33,141.77,4030000,136.8951
2014-12-18,140.17999,141.56,139.28999,141.56,2903400,136.69231
2014-12-17,137.31,139.62,136.78,139.33,2428500,134.539
2014-12-16,138.53,139.30,136.55,137.31,2470100,132.58846
2014-12-15,138.64999,139.50,137.06,138.19,2451200,133.4382
2014-12-12,139.99001,141.36,137.83,137.88,3663400,133.13885
2014-12-11,141.09,142.67999,140.67,141.41,2401300,136.54747
2014-12-10,144.94,146.82001,139.39999,140.25,4910300,135.42735
2014-12-09,142.13,143.13,140.88,143.03999,2090300,138.12141
2014-12-08,143.05,143.05,141.95,142.33,1945100,137.43584
2014-12-05,143.17999,143.31,141.96001,143.25,1198000,138.3242
2014-12-04,143.49001,143.49001,142.02,143.02,1315900,138.10211
2014-12-03,142.98,143.30,141.98,142.69,1793900,137.78346
2014-12-02,142.42999,143.35001,141.75999,143.06,1764100,138.14073
2014-12-01,143.32001,143.32001,141.27,141.98,1952100,137.09787
2014-11-28,141.30,142.97,140.31,142.12,1442600,137.23305
2014-11-26,139.50,140.88,139.03999,139.75,1631900,134.94455
2014-11-25,140.10001,140.35001,138.74001,138.87,1865800,134.0948
2014-11-24,139.33,139.99001,139.19,139.80,1645800,134.99283
2014-11-21,140.80,140.83,139.23,139.72,1849200,134.91559
2014-11-20,139.06,140.00999,139.02,139.25,1516900,134.46175
2014-11-19,139.09,140.14,139.09,140.00999,1362600,135.1956
2014-11-18,138.48,139.34,138.03999,139.21001,1574600,134.42313
2014-11-17,137.21001,138.50,137.21001,138.47,1228100,133.70857
2014-11-14,138.92999,138.92999,138.07001,138.48,1598600,133.71822
2014-11-13,137.64,138.75999,137.34,138.71001,2235900,133.94032
2014-11-12,136.70,137.35001,136.14999,136.89999,1910200,132.19255
2014-11-11,137.78,137.95,136.66,137.05,1495500,131.99461
2014-11-10,137.85001,137.89,135.98,137.69,1958000,132.61099
2014-11-07,137.05,137.91,136.52,137.71001,1589400,132.63026
2014-11-06,137.39,137.67,136.60001,137.09,1685900,132.03313
2014-11-05,137.49001,137.81,136.03,136.50,2116800,131.46489
2014-11-04,134.61,136.72,133.99001,136.55,2802500,131.51305
2014-11-03,133.82001,134.28999,133.37,134.27,1947000,129.31715
2014-10-31,134.45,134.50,132.71001,133.37,2373900,128.45035
2014-10-30,131.50,133.31,131.33,133.00,1302000,128.09399
2014-10-29,131.28999,132.00,130.92999,131.92999,1705800,127.06346
2014-10-28,130.97,131.50,130.16,131.06,1439700,126.22556
2014-10-27,129.24001,131.25999,129.24001,130.92,1629600,126.09072
2014-10-24,128.58,130.53999,128.56,130.44,2490300,125.62843
2014-10-23,131.03,131.48,130.35001,130.59,1763600,125.7729
2014-10-22,130.56,131.59,130.32001,130.53999,1880000,125.72473
2014-10-21,128.94,130.64999,128.17,130.28,2105600,125.47433
2014-10-20,124.83,128.87,124.65,128.42,3499800,123.68294
2014-10-17,123.77,125.75,123.18,124.65,3198900,120.05201
2014-10-16,122.68,123.85,122.05,122.95,3542900,118.41471
2014-10-15,125.10,125.70,123.28,124.30,3784300,119.71492
2014-10-14,127.50,127.98,125.27,126.25,4003500,121.59299
2014-10-13,128.57001,128.85001,126.89,126.97,2445200,122.28643
2014-10-10,128.25999,131.41,128.25999,128.89999,3353000,124.14523
2014-10-09,128.22,130.74001,128.19,128.41,2962700,123.67332
2014-10-08,128.20,128.95,127.16,128.73,4262500,123.98151
2014-10-07,125.35,125.83,124.75,125.27,2334100,120.64913
2014-10-06,127.56,127.67,125.93,126.21,1907500,121.55446
2014-10-03,126.20,127.65,126.01,127.09,1770300,122.402
2014-10-02,124.99,126.21,124.82,125.79,1545800,121.14996
2014-10-01,125.25,125.68,124.45,124.76,1408700,120.15795
2014-09-30,124.86,125.60,124.77,125.32,1665300,120.69729
2014-09-29,125.03,125.60,124.78,125.32,1171000,120.69729
2014-09-26,125.41,125.67,124.38,125.54,2045300,120.90918
2014-09-25,127.45,127.55,125.60,125.66,1819900,121.02476
2014-09-24,126.09,127.78,125.58,127.62,2076300,122.91245
2014-09-23,125.96,125.99,125.21,125.51,1563100,120.88029
2014-09-22,126.37,126.50,125.58,125.83,1453700,121.18848
2014-09-19,127.29,127.29,126.47,126.50,3018500,121.83376
2014-09-18,126.21,126.80,125.96,126.48,1401500,121.81451
2014-09-17,126.03,126.56,125.67,126.01,1594000,121.36184
2014-09-16,125.60,126.79,125.52,126.43,1684400,121.76635
2014-09-15,125.57,126.53,125.45,125.71,1615300,121.07291
2014-09-12,126.25,126.25,125.02,125.37,1598300,120.74545
2014-09-11,126.16,126.53,125.64,125.94,1511200,121.29443
2014-09-10,126.31,126.49,125.87,126.17,1014900,121.51594
2014-09-09,126.14,126.49,125.74,126.11,1500500,121.45815
2014-09-08,127.05,127.32,126.26,126.60,2057400,121.93008
2014-09-05,125.04,127.03,124.71,127.01,2910600,122.32496
2014-09-04,123.00,125.17,122.56,125.15,4440300,120.53356
2014-09-03,121.70,121.94,121.11,121.35,1901000,116.87373
2014-09-02,121.00,121.63,120.90,121.56,1469900,117.07599
2014-08-29,121.68,121.68,120.58,121.08,1047300,116.61369
2014-08-28,121.01,121.25,120.70,120.97,799400,116.50775
2014-08-27,121.58,121.58,120.83,121.24,1028200,116.76779
2014-08-26,121.43,121.59,120.86,121.09,1385400,116.62332
2014-08-25,121.79,122.00,121.12,121.39,1097300,116.91226
2014-08-22,121.90,122.06,121.15,121.29,1401400,116.81595
2014-08-21,120.79,121.88,120.72,121.62,1544300,117.13378
2014-08-20,120.45,121.23,120.09,120.91,1287200,116.44997
2014-08-19,119.38,120.75,119.24,120.61,1708900,116.16103
2014-08-18,119.00,119.68,118.95,119.46,1232900,115.05345
2014-08-15,119.91,119.95,117.78,118.57,2019900,114.19628
2014-08-14,118.51,119.27,118.31,119.26,1067900,114.86083
2014-08-13,119.00,119.10,118.25,118.64,1458100,114.2637
2014-08-12,118.77,119.27,118.55,119.01,1082100,114.62006
