Date,Open,High,Low,Close,Volume,Adj Close
2015-04-24,170.23,170.85001,168.74001,169.78,3884400,169.78
2015-04-23,165.23,171.91,165.14,170.24001,8157900,170.24001
2015-04-22,164.39,166.00,162.89,165.36,4006100,165.36
2015-04-21,166.07001,167.38,164.05,164.25999,9679800,164.25999
2015-04-20,162.10001,166.64,161.89999,166.16,9323000,166.16
2015-04-17,161.75,161.86,160.03,160.67,4299800,160.67
2015-04-16,163.31,163.98,162.53999,163.13,3115700,163.13
2015-04-15,162.63,164.96001,162.50,164.13,3495600,164.13
2015-04-14,162.42,162.74001,160.78999,162.30,2719300,162.30
2015-04-13,162.37,164.00,162.36,162.38,3868900,162.38
2015-04-10,162.34,163.33,161.25,162.86,2515700,162.86
2015-04-09,161.70,162.47,160.72,162.34,2263500,162.34
2015-04-08,161.72,163.55,161.00999,161.85001,2524300,161.85001
2015-04-07,161.67,163.84,161.62,162.07001,3148000,162.07001
2015-04-06,159.69,162.80,158.70,162.03999,3465700,162.03999
2015-04-02,159.52,162.53999,158.89,160.45,4671600,160.45
2015-04-01,160.23,160.62,158.39,159.17999,3700800,159.17999
2015-03-31,161.08,162.33,160.39999,160.50,4255400,160.50
2015-03-30,161.31,163.60001,161.25,162.67,4138000,162.67
2015-03-27,160.78999,160.89999,159.23,160.39999,3477900,160.39999
2015-03-26,159.27,161.25,158.91,160.59,4396000,160.59
2015-03-25,163.08,163.08,159.20,159.20,5428900,159.20
2015-03-24,164.78999,164.89,162.89999,163.00,4346100,163.00
2015-03-23,162.77,165.35001,162.73,164.63,5930100,164.63
2015-03-20,160.95,163.00,160.35001,162.88,9006400,162.88
2015-03-19,159.70,160.92,158.81,159.81,3878600,159.81
2015-03-18,156.85001,160.70,155.80,159.81,5738800,159.81
2015-03-17,156.20,157.28999,155.37,156.96001,3311700,156.96001
2015-03-16,155.05,157.09,154.80,157.08,3749600,157.08
2015-03-13,157.46001,157.52,153.39999,154.28,6064100,154.28
2015-03-12,156.27,158.72,156.27,157.98,4567300,157.98
2015-03-11,158.57001,159.14,155.94,156.80,5709900,156.80
2015-03-10,159.60001,160.23,157.81,157.81,4601000,157.81
2015-03-09,158.20,161.14999,158.20,160.77,5193900,160.77
2015-03-06,160.19,161.44,158.06,158.50,4540200,158.50
2015-03-05,159.86,161.50,159.70,161.17999,3791700,161.17999
2015-03-04,160.53999,160.56,158.72,159.42,3633600,159.42
2015-03-03,160.27,161.75,160.00,161.03,3234400,161.03
2015-03-02,161.94,161.94,159.81,160.48,5917900,160.48
2015-02-27,160.87,162.28999,160.16,161.94,4410000,161.94
2015-02-26,163.74001,164.14,159.77,160.87,7110800,160.87
2015-02-25,164.94,164.96001,162.58,162.81,4004600,162.81
2015-02-24,162.49001,164.99001,161.50999,164.83,4701600,164.83
2015-02-23,164.23,164.39999,162.50,162.91,2714400,162.91
2015-02-20,163.64,164.34,162.09,163.64999,3353000,163.64999
2015-02-19,162.05,164.49001,161.44,163.89,3504400,163.89
2015-02-18,161.86,162.47,160.64,162.19,4358400,162.19
2015-02-17,159.75,161.41,159.73,160.96001,2894500,160.96001
2015-02-13,158.78,160.80,158.64,160.39999,3706900,160.39999
2015-02-12,158.72,159.50,158.09,158.52,3333100,158.52
2015-02-11,157.75999,159.09,157.17,158.20,3626700,158.20
2015-02-10,156.74001,158.56,155.08,158.56,4440600,158.56
2015-02-09,156.00,157.50,155.39999,155.75,3057700,155.75
2015-02-06,157.34,158.08,156.23,156.72,3225000,156.72
2015-02-05,157.28999,158.59,157.14999,157.91,5253600,156.81
2015-02-04,157.21001,158.71001,156.70,156.96001,3678500,155.86662
2015-02-03,154.75,158.60001,154.75,158.47,5539400,157.3661
2015-02-02,154.00,154.66,151.50999,154.66,4712200,153.58264
2015-01-30,153.91,155.24001,153.03999,153.31,6563600,152.24203
2015-01-29,151.38,155.58,149.52,155.48,8320800,154.39693
2015-01-28,154.00,154.53,151.55,151.55,4495900,150.49431
2015-01-27,154.94,155.09,152.59,153.67,5659600,152.59953
2015-01-26,158.25999,159.46001,155.77,156.36,7888100,155.2708
2015-01-23,155.03,157.60001,154.89,155.87,4834800,154.78421
2015-01-22,151.94,155.72,151.75999,155.39,6120100,154.30756
2015-01-21,153.03,154.50,151.07001,152.09,11897100,151.03053
2015-01-20,156.70,157.33,154.03,156.95,8392800,155.85669
2015-01-16,153.82001,157.63,153.82001,157.14,5756000,156.04536
2015-01-15,156.69,156.97,154.16,154.57001,4248400,153.49327
2015-01-14,154.86,156.49001,153.74001,155.80,4690300,154.71471
2015-01-13,157.25999,159.97,155.67999,156.81,4377500,155.71767
2015-01-12,159.00,159.25,155.75999,156.44,4182800,155.35023
2015-01-09,158.42,160.34,157.25,159.11,4484800,158.00165
2015-01-08,156.24001,159.03999,155.55,158.42,4236800,157.31645
2015-01-07,157.20,157.20,154.03,155.05,4701800,153.96992
2015-01-06,159.67,159.96001,155.17,156.07001,6146700,154.98282
2015-01-05,161.27,161.27,159.19,159.50999,4880400,158.39885
2015-01-02,161.31,163.31,161.00,162.06,5525500,160.93109
2014-12-31,160.41,161.50,160.38,160.44,4011900,159.32237
2014-12-30,160.02,160.82001,159.78999,160.05,2829900,158.93509
2014-12-29,162.00,162.34,159.45,160.50999,3331800,159.39188
2014-12-26,162.27,163.09,162.00999,162.34,1912200,161.20914
2014-12-24,162.88,162.99001,161.61,161.82001,1868100,160.69276
2014-12-23,162.23,162.89999,161.61,162.24001,4043300,161.10985
2014-12-22,158.33,161.91,158.33,161.44,4682500,160.31541
2014-12-19,157.49001,160.41,157.49001,158.50999,8864900,157.40581
2014-12-18,153.58,157.67999,153.30,157.67999,7302400,156.58159
2014-12-17,151.52,153.31,151.11,151.92999,5131000,150.87164
2014-12-16,152.03,154.89,150.50,151.41,6782600,150.35529
2014-12-15,155.92999,156.74001,152.84,153.06,6500300,151.99379
2014-12-12,160.25,160.50,155.33,155.38,8611700,154.29762
2014-12-11,160.82001,162.92999,160.52,161.07001,3989600,159.948
2014-12-10,163.00999,163.33,160.03,160.50999,4072800,159.39188
2014-12-09,160.84,163.02,160.80,162.99001,3861200,161.85461
2014-12-08,163.28999,163.28999,161.53999,161.86,2851000,160.73248
2014-12-05,163.61,164.50,162.91,163.27,3013500,162.13266
2014-12-04,164.00999,164.50,163.00999,164.05,3859400,162.90723
2014-12-03,162.47,164.52,162.00,164.52,6429100,163.37396
2014-12-02,162.47,162.73,161.64,162.67,3464100,161.53683
2014-12-01,161.64,163.32001,161.35001,161.53999,4168400,160.4147
2014-11-28,162.75,163.37,161.44,162.17,2405500,161.04033
2014-11-26,161.92999,162.10001,161.00999,161.95,3966000,160.82185
2014-11-25,162.64999,163.50,161.56,161.75999,4062300,160.63318
2014-11-24,161.53999,163.86,161.06,162.14999,6618500,161.02046
2014-11-21,161.83,161.95,160.75,160.92,4076900,159.79903
2014-11-20,160.95,161.50,159.80,160.64,4182200,159.52098
2014-11-19,162.05,162.10001,160.96001,161.42999,3802200,160.30547
2014-11-18,164.73,164.75,161.89,161.89,5410100,160.76227
2014-11-17,164.16,164.97,163.72,164.16,4798900,163.01646
2014-11-14,162.10001,164.49001,161.69,164.16,4976700,163.01646
2014-11-13,162.00,162.80,161.80,162.78999,3239500,161.65601
2014-11-12,162.28,163.00,161.75999,161.92,3377600,160.79207
2014-11-11,163.70,163.89999,162.60001,163.30,3534400,162.16246
2014-11-10,161.89999,164.47,161.61,163.49001,4958200,162.35114
2014-11-07,161.42,162.21001,160.85001,162.07001,3494800,160.94102
2014-11-06,161.28,161.53,160.05,161.46001,4067600,160.33528
2014-11-05,163.13,163.53999,161.56,161.82001,4104700,159.60043
2014-11-04,164.34,164.36,162.24001,162.64999,4246900,160.41904
2014-11-03,164.25,164.53999,163.38,164.36,4688200,162.10558
2014-10-31,165.48,165.59,163.62,164.39999,5818000,162.14503
2014-10-30,163.50,164.62,163.02,164.35001,3896000,162.09572
2014-10-29,164.33,164.62,162.75999,163.46001,4739300,161.21794
2014-10-28,162.00,163.60001,161.80,163.60001,7895300,161.35602
2014-10-27,162.00,162.91,161.81,161.87,4989100,159.64973
2014-10-24,162.08,162.44,161.45,162.08,6652100,159.85686
2014-10-23,162.12,162.83,161.53999,162.17999,7599400,159.95547
2014-10-22,162.41,165.41,161.10001,161.78999,11084800,159.57083
2014-10-21,166.39999,166.67999,161.67999,163.23,20949800,160.99107
2014-10-20,166.85001,170.33,166.69,169.10001,23416500,166.78058
2014-10-17,181.24001,182.84,180.22,182.05,4350200,179.55295
2014-10-16,179.80,181.48,178.69,179.84,5578600,177.37325
2014-10-15,182.46001,183.78999,178.75,181.75,6895800,179.25705
2014-10-14,184.89,185.72,183.59,183.80,3924700,181.27895
2014-10-13,185.49001,186.64999,183.42,183.52,3596700,181.00278
2014-10-10,185.86,187.74001,185.10001,185.92999,5090200,183.37971
2014-10-09,189.12,189.50,186.09,186.42,2625400,183.86299
2014-10-08,185.97,189.60001,185.61,189.36,2984800,186.76268
2014-10-07,187.77,188.12,185.53999,185.71001,2991300,183.16275
2014-10-06,189.69,190.89,188.71001,189.03999,2099500,186.44705
2014-10-03,188.11,189.37,187.56,188.67,3071500,186.08214
2014-10-02,187.66,187.78,186.24001,186.91,2283100,184.34628
2014-10-01,189.91,190.39999,186.78999,187.17,3723200,184.60271
2014-09-30,189.64,190.85001,189.14999,189.83,2932600,187.22623
2014-09-29,188.50999,189.96001,188.12,189.64,2336300,187.03883
2014-09-26,188.92999,190.33,188.61,190.06,2493900,187.45306
2014-09-25,192.05,192.50,188.97,189.00999,4151400,186.41747
2014-09-24,191.00,192.45,189.88,192.31,3082600,189.67221
2014-09-23,192.75,193.07001,191.52,191.62,3301800,188.99167
2014-09-22,193.72,194.14,192.63,193.11,3318000,190.46124
2014-09-19,194.53999,195.00,193.19,194.00,8852000,191.33904
2014-09-18,192.78999,194.13,192.71001,193.75,2963300,191.09245
