Date,Open,High,Low,Close,Volume,Adj Close
2015-04-24,79.38,80.93,79.24,79.84,6738500,79.84
2015-04-23,78.38,79.54,78.20,79.18,6835400,79.18
2015-04-22,77.73,78.64,77.55,78.43,7589500,78.43
2015-04-21,78.61,78.84,77.91,78.03,6150300,78.03
2015-04-20,78.39,78.83,78.02,78.14,8846000,78.14
2015-04-17,78.94,79.15,77.55,77.88,11762700,77.88
2015-04-16,79.50,79.89,79.13,79.24,7991100,79.24
2015-04-15,80.58,80.98,79.65,79.74,6178000,79.74
2015-04-14,80.29,80.42,79.68,80.15,5531700,80.15
2015-04-13,80.40,80.92,80.27,80.29,4698100,80.29
2015-04-10,80.86,81.00,80.55,80.65,5480300,80.65
2015-04-09,80.84,81.39,80.58,80.84,3923600,80.84
2015-04-08,80.39,81.23,80.36,81.03,6694700,81.03
2015-04-07,81.09,81.29,80.46,80.50,6606100,80.50
2015-04-06,80.46,81.33,80.15,80.99,6380700,80.99
2015-04-02,80.73,81.32,80.55,80.73,5795700,80.73
2015-04-01,82.28,82.28,80.43,80.71,8306700,80.71
2015-03-31,82.39,83.04,82.25,82.25,5587700,82.25
2015-03-30,81.70,82.80,81.43,82.53,5701700,82.53
2015-03-27,81.85,82.18,81.25,81.35,5717400,81.35
2015-03-26,80.93,82.31,80.65,81.89,8267200,81.89
2015-03-25,83.09,83.25,81.31,81.32,6645900,81.32
2015-03-24,83.19,83.71,82.96,83.05,5359100,83.05
2015-03-23,83.18,83.90,83.12,83.31,6505700,83.31
2015-03-20,81.83,83.49,81.71,83.24,12365300,83.24
2015-03-19,82.33,82.44,81.37,81.52,7212900,81.52
2015-03-18,81.98,82.96,81.16,82.53,10252300,82.53
2015-03-17,82.98,83.01,82.24,82.62,4802000,82.62
2015-03-16,82.45,83.37,82.44,83.29,6519100,83.29
2015-03-13,81.95,82.25,81.29,81.90,4762200,81.90
2015-03-12,80.81,82.12,80.78,81.90,5225800,81.90
2015-03-11,81.82,81.97,80.54,80.69,6160900,80.69
2015-03-10,82.27,82.50,82.07,82.07,6311100,81.57999
2015-03-09,82.59,83.34,82.54,82.88,4671500,82.38516
2015-03-06,82.81,83.10,82.38,82.59,5731000,82.09689
2015-03-05,83.15,83.87,82.96,83.57,5997500,83.07104
2015-03-04,83.21,83.21,82.20,82.58,6214400,82.08695
2015-03-03,83.66,83.82,83.17,83.37,6460800,82.87224
2015-03-02,83.93,84.00,83.20,83.96,6061500,83.45871
2015-02-27,83.72,84.16,83.40,83.93,5877400,83.42889
2015-02-26,83.85,83.86,83.27,83.80,5888100,83.29967
2015-02-25,84.63,84.72,83.52,83.57,6808400,83.07104
2015-02-24,84.52,84.82,83.92,84.57,5197700,84.06507
2015-02-23,84.39,84.86,84.23,84.60,6730400,84.09489
2015-02-20,82.73,84.38,82.55,84.30,13840400,83.79668
2015-02-19,84.50,84.80,83.39,83.52,18646800,83.02134
2015-02-18,85.96,86.30,85.52,86.29,6032700,85.7748
2015-02-17,85.43,85.97,84.97,85.96,5087200,85.44677
2015-02-13,85.84,86.16,85.32,85.81,5597000,85.29767
2015-02-12,86.56,86.68,85.23,85.89,6941600,85.37719
2015-02-11,86.63,87.12,85.92,86.34,5853100,85.8245
2015-02-10,86.62,87.41,86.42,87.29,5732100,86.76883
2015-02-09,86.97,87.19,85.64,85.91,5456200,85.39707
2015-02-06,87.26,88.00,86.78,87.33,5550700,86.80859
2015-02-05,87.11,87.36,86.56,87.28,5090800,86.75889
2015-02-04,86.11,87.04,86.00,86.65,8932300,86.13265
2015-02-03,85.83,86.53,85.66,86.19,8283500,85.6754
2015-02-02,84.79,85.87,83.93,85.71,6927200,85.19827
2015-01-30,86.78,87.36,84.90,84.98,10280200,84.47263
2015-01-29,87.07,87.72,86.27,87.72,6522800,87.19627
2015-01-28,88.02,88.23,86.77,86.82,5936800,86.30164
2015-01-27,88.28,88.46,87.26,87.53,6020500,87.0074
2015-01-26,88.31,89.16,88.12,88.63,4666700,88.10083
2015-01-23,88.42,89.26,87.89,88.51,7565800,87.98155
2015-01-22,87.23,88.40,86.86,88.30,7123800,87.7728
2015-01-21,86.10,86.91,85.71,86.64,8173800,86.12271
2015-01-20,86.82,87.70,85.55,86.69,7853100,86.17242
2015-01-16,87.20,87.46,86.23,86.77,8408900,86.25193
2015-01-15,87.00,87.78,86.70,87.38,9412700,86.85829
2015-01-14,87.65,88.52,86.50,86.61,11954300,86.0929
2015-01-13,90.80,90.97,88.93,89.31,8215400,88.77677
2015-01-12,89.36,90.31,89.22,90.02,7372500,89.48253
2015-01-09,90.32,90.39,89.25,89.35,8522500,88.81653
2015-01-08,89.21,90.67,89.07,90.47,12713600,89.92985
2015-01-07,86.78,88.68,86.67,88.60,8498400,88.07101
2015-01-06,85.98,86.75,85.79,86.31,8205100,85.79468
2015-01-05,85.72,86.32,85.51,85.65,6979000,85.13863
2015-01-02,86.27,86.72,85.55,85.90,4501800,85.38713
2014-12-31,87.08,87.44,85.86,85.88,4151400,85.36725
2014-12-30,86.52,87.13,86.48,86.79,3265400,86.27182
2014-12-29,86.46,87.07,86.40,86.64,3605600,86.12271
2014-12-26,86.18,87.14,86.01,86.91,3249300,86.39111
2014-12-24,86.97,87.07,86.39,86.43,2491800,85.91396
2014-12-23,86.69,87.08,86.36,86.66,5552600,86.14259
2014-12-22,85.32,86.40,85.29,86.38,4575800,85.86427
2014-12-19,86.26,86.34,85.16,85.16,12068800,84.65155
2014-12-18,84.80,85.95,84.28,85.94,8645900,85.4269
2014-12-17,83.28,84.26,82.95,84.23,6641000,83.7271
2014-12-16,83.62,84.76,82.94,82.96,7437400,82.46468
2014-12-15,84.26,84.70,83.05,83.94,6317700,83.43884
2014-12-12,83.52,85.00,83.52,83.81,7284100,83.30961
2014-12-11,83.20,84.50,83.16,83.83,8032800,83.32949
2014-12-10,83.93,84.31,82.90,82.98,6973600,82.48457
2014-12-09,83.65,84.21,82.65,83.56,6633600,83.0611
2014-12-08,84.15,84.67,83.85,84.23,6266000,83.7271
2014-12-05,84.81,84.82,83.51,84.12,6570100,83.61776
2014-12-04,84.13,84.82,83.65,84.76,6901400,84.25394
2014-12-03,85.95,86.00,84.68,84.94,6374300,84.43286
2014-12-02,86.27,86.70,85.93,86.40,6738900,85.40701
2014-12-01,86.72,87.07,85.75,86.22,9140900,85.22908
2014-11-28,86.18,88.09,85.90,87.54,7820600,86.53391
2014-11-26,84.90,85.11,84.48,84.98,3942800,84.00333
2014-11-25,85.50,85.51,84.39,84.95,6673700,83.97367
2014-11-24,84.85,85.61,84.77,85.40,7995500,84.41851
2014-11-21,85.34,85.44,84.58,84.65,6649600,83.67712
2014-11-20,84.81,85.29,84.04,84.58,7812300,83.60793
2014-11-19,83.96,85.64,83.92,84.99,12187000,84.01321
